GROUP,NOTE TEXT
1,"PROVIDE AND INSTALL ALUMINUM GROUND ROD (3/4"" X 10'0"") BELOW GRADE. PROVIDE MANUFACTURER'S U.L. LISTED FOR USE ""THROUGH ROOF"" DEVICE INSTALLED BY ROOFER TO FACILITATE CONNECTION TO STEEL COLUMN. PROVIDE CAD WELD CONNECTION TO TOP OF COLUMN FROM PROTECTION GRID. PROVIDE CONNECTION FROM BOTTOM OF COLUMN TO GROUND ROD. ALL CONNECTIONS AT TOP AND BOTTOM OF COLUMN TO BE CONCEALED."
2,"PROVIDE AND INSTALL BATTERY CHARGING, JACKET HEATER CIRCUITS, AND CIRCUITS FOR REMOTE MONITORING.  SEE ONE-LINE DIAGRAM FOR MORE INFORMATION, SHEET E6001."
3,"ALL AIR TERMINALS SHALL BE 24"" ALUMINUM."
4,"PROVIDE CIRCUIT TO OVERHEAD DOOR.  PROVIDE 3/4"" CONDUIT AND CONDUCTORS TO DOOR MOTOR ABOVE.  PROVIDE AND INSTALL ADDITIONAL CONDUIT FROM MOTOR BACK TO CONTROLLER AS REQUIRED BY DOOR MANUFACTURER/VENDOR.  CIRCUIT DISCONNECTS IN PARALLEL TO FACILITATE ELECTRICAL ISOLATION OF INDIVIDUAL MOTORS."
5,MOUNT RECEPTACLES TO SIDE OF WIRE MANAGEMENT TRAY. CIRCUIT DOWN FROM CEILING IN EMT.
6,PROVIDE 120V ACCESSORY POWER TO AHU INTERIOR. COORDINATE CONNECTION POINT WITH DIVISION 23 CONTRACTOR PRIOR TO ROUGH-IN.
7,"BID PRICE INCLUDES TERMINALS AND LOOP CONDUCTORS AND INSTALLATION AT ALL LOUVER HOUSES, HVAC EQUIPMENT ON ROOF, AND ANY OTHER PROJECTION/EQUIPMENT AT THE ROOF."
8,"EMERGENCY FIXTURE IN THIS SPACE SHALL BE SWITCHED.  EMERGENCY LIGHT SHALL COME ""FULL ON"" AT LOSS OF POWER."
9,"PROVIDE WIREMOLD POWER DROP AT VF-A AND EDM MACHINES.  PROVIDE DUAL CHANNEL DROP (POWER AND DATA CHANNELS).  PROVIDE 30TP-4V BLANK POLE, GRAY FINISH."
10,"WITHOUT EXCEPTION, ALL LOOP CONDUCTORS SHALL BE CLASS I STRANDED ALUMINUM."
